1960,19592.4050533783
1961,20211.3386864691
1962,20730.0240677455
1963,20062.3895973961
1964,21622.0343299049
1965,21317.4622252276
1966,21186.587066712
1967,20128.3048150574
1968,21356.7252346883
1969,21010.006551556202
1970,21654.312469195902
1971,20061.9988456567
1972,16975.183329016898
1973,17277.337788650802
1974,18630.289680872
1975,17530.973391902
1976,18113.4341160275
1977,18139.10267841
1978,18910.8849218248
1979,19287.4539509677
1980,18930.1413792311
1981,19771.235630678002
1982,19672.4349199443
1983,19911.5567386341
1984,20331.257409460803
1985,20467.2777112972
1986,20766.9735823122
1987,20990.953503931
1988,20947.4423226854
1989,21004.8557464293
1990,21653.2722874809
1991,21892.8969886276
1992,22574.6902328892
1993,23131.287399251
1994,23522.302290885298
1995,24204.7421562208
1996,24766.2021598109
1997,25337.480939253903
1998,26101.324786197598
1999,26773.2274451344
2000,27645.365243254102
2001,28506.1880316094
2002,29065.0183457512
2003,29920.068537207
2004,30983.2363543858
2005,32521.815201088397
2006,34227.4319953652
2007,36196.6801489434
2008,37936.3542564921
2009,39407.7162910153
2010,41138.1013763606
2011,43299.1251819191
2012,45593.2188989408
2013,47779.1409343872
2014,50099.3477744559
2015,52789.0668532251
2016,55930.5059085588
2017,59365.8157203687
2018,63365.30112765099
2019,67820.8853994422
